TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES,SKU
Boo clay bead bracelet,"This bracelet consists of purple, white, and orange clay bead bracelets with gold discs in between the colors. The bracelet has gold and white letter beads spelling “boo”.",5,USD,3,,,https://i.etsystatic.com/45496600/r/il/d02618/5249908150/il_fullxfull.5249908150_d731.jpg,https://i.etsystatic.com/45496600/r/il/d38578/5249908556/il_fullxfull.5249908556_kk71.jpg,https://i.etsystatic.com/45496600/r/il/a0ab8e/5249908854/il_fullxfull.5249908854_l2ph.jpg,,,,,,,,,,,,,,
Witch choker necklace,"With purple, black, yellow, and green makes a cute yet halloween witch necklace.",3,USD,3,,,https://i.etsystatic.com/45496600/r/il/e7a140/5294833533/il_fullxfull.5294833533_5hj5.jpg,https://i.etsystatic.com/45496600/r/il/521a99/5294833541/il_fullxfull.5294833541_b4t1.jpg,,,,,,,,,,,,,,,
Ultimate fall clay bead bracelet,"The ultimate fall bracelet is the perfect way to make your outfit complete. With white, orange and the perfect fall clay bead makes the perfect fall bracelet.",4,USD,3,,,https://i.etsystatic.com/45496600/r/il/e809c3/5246635898/il_fullxfull.5246635898_li7u.jpg,https://i.etsystatic.com/45496600/r/il/6e03b5/5294823233/il_fullxfull.5294823233_t1or.jpg,,,,,,,,,,,,,,,
Pearls of Halloween clay bead bracelet,This bracelet consists of pearls with Halloween colored clay beads.,5,USD,4,,,https://i.etsystatic.com/45496600/r/il/5d7cae/5294814105/il_fullxfull.5294814105_rawd.jpg,https://i.etsystatic.com/45496600/r/il/8f4a79/5246626102/il_fullxfull.5246626102_35iz.jpg,,,,,,,,,,,,,,,
Sunflower pearl clay bead bracelet,A perfect sunflower bracelet with pearls and sunflower colors around the cute sunflower charm.,5,USD,3,,,https://i.etsystatic.com/45496600/r/il/374a8e/5246614688/il_fullxfull.5246614688_6y7d.jpg,https://i.etsystatic.com/45496600/r/il/014107/5246614692/il_fullxfull.5246614692_hkd5.jpg,https://i.etsystatic.com/45496600/r/il/87ff78/5294801953/il_fullxfull.5294801953_f8as.jpg,,,,,,,,,,,,,,
smile clay bead bracelet,"With multiple different choices of colors, it makes the perfect bracelet to wear to make you smile.",5,USD,10,,,https://i.etsystatic.com/45496600/r/il/6a51ed/5246605074/il_fullxfull.5246605074_wvc5.jpg,https://i.etsystatic.com/45496600/r/il/78a026/5246605082/il_fullxfull.5246605082_ff97.jpg,https://i.etsystatic.com/45496600/r/il/e52bee/5246605076/il_fullxfull.5246605076_inpy.jpg,https://i.etsystatic.com/45496600/r/il/092a39/6589422010/il_fullxfull.6589422010_a2hc.jpg,https://i.etsystatic.com/45496600/r/il/eeb436/6637529641/il_fullxfull.6637529641_dvwu.jpg,https://i.etsystatic.com/45496600/r/il/35f548/6589422064/il_fullxfull.6589422064_iq8t.jpg,https://i.etsystatic.com/45496600/r/il/045b50/6637529785/il_fullxfull.6637529785_1gk9.jpg,,,,Custom Property,color,"candy corn,pink,green",,,,
Spooky candy corn clay beaded bracelet,This spooky bracelet has candy corn colors with letter beads spelling spooky.,5,USD,4,,,https://i.etsystatic.com/45496600/r/il/6f3f56/5246594320/il_fullxfull.5246594320_1ga4.jpg,https://i.etsystatic.com/45496600/r/il/06e214/5294782513/il_fullxfull.5294782513_88x0.jpg,https://i.etsystatic.com/45496600/r/il/3561cf/5246594786/il_fullxfull.5246594786_mw63.jpg,,,,,,,,,,,,,,
Pumpkin fall clay bead bracelet set,This set comes with one pumpkin bracelet with circular beads surrounding the pumpkin letter beads. The second bracelet of the set comes with a fall bracelet with all the fall colors.,5,USD,4,,,https://i.etsystatic.com/45496600/r/il/b92cd8/5246672550/il_fullxfull.5246672550_2x91.jpg,https://i.etsystatic.com/45496600/r/il/256bac/5246672532/il_fullxfull.5246672532_kyxc.jpg,https://i.etsystatic.com/45496600/r/il/42ab90/5294859357/il_fullxfull.5294859357_f4u7.jpg,https://i.etsystatic.com/45496600/r/il/0b0268/5294859365/il_fullxfull.5294859365_dpb7.jpg,https://i.etsystatic.com/45496600/r/il/814e2a/5246672542/il_fullxfull.5246672542_11nj.jpg,https://i.etsystatic.com/45496600/r/il/2ba5cd/5246672548/il_fullxfull.5246672548_s0hc.jpg,https://i.etsystatic.com/45496600/r/il/61167f/5294859371/il_fullxfull.5294859371_98fz.jpg,https://i.etsystatic.com/45496600/r/il/3a9a78/5294859353/il_fullxfull.5294859353_a5zx.jpg,,,,,,,,,
Cherry clay bead bracelet,"This cute cherry bracelet has a cute cherry charm with red, white, and green clay beads surrounding it.",5,USD,3,,,https://i.etsystatic.com/45496600/r/il/d7dd5b/5197207788/il_fullxfull.5197207788_rn9t.jpg,https://i.etsystatic.com/45496600/r/il/768896/5245434671/il_fullxfull.5245434671_sygz.jpg,,,,,,,,,,,,,,,
Pearl green clay bead bracelet,The pearl green bracelet has half pearls and half green clay beads.,5,USD,4,,,https://i.etsystatic.com/45496600/r/il/d5d749/5245409139/il_fullxfull.5245409139_ryqb.jpg,https://i.etsystatic.com/45496600/r/il/c095c2/5197185574/il_fullxfull.5197185574_m7m8.jpg,,,,,,,,,,,,,,,
Gold hearts clay bead bracelet,The gold hearts bracelet has pink and white clay beads with gold hearts.,5,USD,3,,,https://i.etsystatic.com/45496600/r/il/6623e1/5245357321/il_fullxfull.5245357321_b7yq.jpg,https://i.etsystatic.com/45496600/r/il/c0815b/5197134588/il_fullxfull.5197134588_g6jn.jpg,,,,,,,,,,,,,,,
Little mermaid clay bead bracelet,"The little mermaid bracelet includes pearls with purple, teal, and red clay beads.",5,USD,5,,,https://i.etsystatic.com/45496600/r/il/27597f/5245299865/il_fullxfull.5245299865_a10j.jpg,https://i.etsystatic.com/45496600/r/il/e7c957/5245301647/il_fullxfull.5245301647_a9sc.jpg,,,,,,,,,,,,,,,
Minty clay bead bracelet,This cute bracelet has beautiful pearls with mint green clay beads.,4,USD,4,,,https://i.etsystatic.com/45496600/r/il/592bc3/5245346805/il_fullxfull.5245346805_5rxw.jpg,https://i.etsystatic.com/45496600/r/il/6424e1/5245348293/il_fullxfull.5245348293_h8ud.jpg,,,,,,,,,,,,,,,
Mixed clay bead bracelet,This neon bracelet has bright orange and yellow clay beads.,4,USD,11,,,https://i.etsystatic.com/45496600/r/il/a5e17f/7153323119/il_fullxfull.7153323119_9rxh.jpg,https://i.etsystatic.com/45496600/r/il/e10f39/5197096796/il_fullxfull.5197096796_flyo.jpg,https://i.etsystatic.com/45496600/r/il/561898/7153327111/il_fullxfull.7153327111_sq3i.jpg,https://i.etsystatic.com/45496600/r/il/576529/7105359378/il_fullxfull.7105359378_rsga.jpg,https://i.etsystatic.com/45496600/r/il/63a519/7153327383/il_fullxfull.7153327383_9del.jpg,https://i.etsystatic.com/45496600/r/il/7853f6/7153327423/il_fullxfull.7153327423_2swo.jpg,,,,,Custom Property,color,"orange,blue,dark pink,light pink,green",,,,
